Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_325.jpg;0;0;0;0;99.66999;85.58897;0.0002362352;45.99145;2.197017E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_392.jpg;0;0;0;0;99.66999;85.58897;0.0002359031;45.99145;2.621003E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_459.jpg;0;0;0;0;99.66999;85.58897;0.0002359739;45.99145;2.859833E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_523.jpg;0;0;0;0;99.66999;85.58897;0.0002362647;45.99145;3.044243E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_590.jpg;0;0;0;0;99.66999;85.58897;0.0002364585;45.99145;3.167182E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_657.jpg;0;0;0;0;99.66999;85.58897;0.0002365554;45.99145;3.228652E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_725.jpg;0;0;0;0;99.66999;85.58897;0.0002365564;45.99145;3.199916E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_791.jpg;0;0;0;0;99.66999;85.58897;0.0002364226;45.99145;3.062134E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_859.jpg;0;0;0;0;99.66999;85.58897;0.0002362308;45.99145;2.881723E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_924.jpg;0;0;0;0;99.66999;85.58897;0.0002357831;45.99145;2.650687E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_990.jpg;0;0;0;0;99.66999;85.58897;0.0002349997;45.99145;2.388813E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_057.jpg;0;0;0;0;99.66999;85.58897;0.0002342802;45.99145;1.997155E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_124.jpg;0;0;0;0;99.66999;85.58897;0.0002336367;45.99145;1.70065E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_192.jpg;0;0;0;0;99.66999;85.58897;0.0002329963;45.99145;1.317937E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_259.jpg;0;0;0;0;99.66999;85.58897;0.0002327885;45.99145;1.027531E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_325.jpg;0;0;0;0;99.66999;85.58897;0.0002326208;45.99145;7.272312E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_391.jpg;0;0;0;0;99.66999;85.58897;0.000232654;45.99145;3.487215E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_457.jpg;0;0;0;0;99.66999;85.58897;0.0002325462;45.99145;3.357852E-07
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_523.jpg;0;0;0;0;99.66999;85.58897;0.0002324554;45.99145;-2.003045E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_591.jpg;0;0;0;0;99.66999;85.58897;0.0002323825;45.99145;-3.816643E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_658.jpg;0;0;0;0;99.66999;85.58897;0.0002320687;45.99145;-4.749194E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_725.jpg;0;0;0;0;99.66999;85.58897;0.000231715;45.99145;-5.582795E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_792.jpg;0;0;0;0;99.66999;85.58897;0.0002311233;45.99145;-6.397427E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_859.jpg;0;0;0;0;99.66999;85.58897;0.0002309064;45.99145;-6.71528E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_925.jpg;0;0;0;0;99.66999;85.58897;0.0002306296;45.99145;-6.884709E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_30_991.jpg;0;0;0;0;99.66999;85.58897;0.0002306106;45.99145;-7.122593E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_31_057.jpg;0;0;0;0;99.66999;85.58897;0.0002306896;45.99145;-7.033133E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_31_124.jpg;0;0;0;0;99.66999;85.58897;0.0002306286;45.99145;-6.597355E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_31_191.jpg;0;0;0;0;99.66999;85.58897;0.0002309834;45.99145;-6.051109E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_31_259.jpg;0;0;0;0;99.66999;85.58897;0.0002314171;45.99145;-5.415403E-06
